Expediente,EstadoSolapa,Resolución
CFP 13816/2018,En trámite,27/07/2020: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 13816/2018,En trámite,18/06/2020: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 13816/2018,En trámite,21/02/2020: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 13816/2018,En trámite,21/02/2020: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 13816/2018,En trámite,13/12/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 13816/2018,En trámite,05/12/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 13816/2018,En trámite,04/12/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 13816/2018,En trámite,28/11/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 13816/2018,En trámite,21/11/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 13816/2018,En trámite,21/11/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 13816/2018,En trámite,21/11/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 13816/2018,En trámite,11/11/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 13816/2018,En trámite,11/11/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 13816/2018,En trámite,29/10/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 13816/2018,En trámite,29/10/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 13816/2018,En trámite,29/10/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 13816/2018,En trámite,29/10/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 13816/2018,En trámite,29/10/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 13816/2018,En trámite,29/10/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 13816/2018,En trámite,29/10/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 13816/2018,En trámite,29/10/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 13816/2018,En trámite,29/10/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 13816/2018,En trámite,17/10/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 13816/2018,En trámite,17/10/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 13816/2018,En trámite,17/10/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 13816/2018,En trámite,17/10/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 13816/2018,En trámite,17/10/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 13816/2018,En trámite,17/10/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 13816/2018,En trámite,04/10/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 13816/2018,En trámite,04/10/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 13816/2018,En trámite,30/09/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 13816/2018,En trámite,19/07/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 13816/2018,En trámite,02/07/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 13816/2018,En trámite,15/05/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 13816/2018,En trámite,15/05/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 13816/2018,En trámite,15/05/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 13816/2018,En trámite,15/05/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 13816/2018,En trámite,11/04/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 13816/2018,En trámite,29/03/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 13816/2018,En trámite,29/03/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 13816/2018,En trámite,29/03/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 13816/2018,En trámite,29/03/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 13816/2018,En trámite,20/03/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 13816/2018,En trámite,15/03/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 13816/2018,En trámite,13/03/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,28/08/2025: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,06/12/2024: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,18/10/2024: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,13/08/2024: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,26/06/2024: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,25/03/2024: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,22/03/2024: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,29/02/2024: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,27/12/2023: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,19/12/2023: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,12/12/2023: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,12/12/2023: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,12/12/2023: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,05/12/2023: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,09/11/2023: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,03/11/2023: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,11/10/2023: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,04/10/2023: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,28/09/2023: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,31/08/2023: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,23/08/2023: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,22/08/2023: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,22/08/2023: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,17/08/2023: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,10/08/2023: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,09/03/2023: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,13/02/2023: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,13/02/2023: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,26/12/2022: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,19/12/2022: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,22/11/2022: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,25/08/2022: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,05/08/2022: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,03/08/2022: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,10/06/2022: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,30/09/2021: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,17/09/2021: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,01/09/2021: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,24/08/2021: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,17/08/2021: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,11/05/2021: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,05/05/2021: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,03/09/2020: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,27/07/2020: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,27/07/2020: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,27/07/2020: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,27/07/2020: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,27/07/2020: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,02/07/2020: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,12/02/2020: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,06/02/2020: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,13/01/2020: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,27/12/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,27/12/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,27/12/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,27/12/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,27/12/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,20/12/2019: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,13/12/2019: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,13/12/2019: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,13/12/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,06/12/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,25/11/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,25/11/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,25/11/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,25/11/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,25/11/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,25/11/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,25/11/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,25/11/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,25/11/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,25/11/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,21/11/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,21/11/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,20/11/2019: TRIBUNAL ORAL EN LO CRIMINAL FEDERAL 7
CFP 9608/2018,En trámite,31/10/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,17/10/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,17/10/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,17/10/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,17/10/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,17/10/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,07/10/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,02/10/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,30/09/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,30/09/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,30/09/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,17/09/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,13/09/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,11/09/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,10/09/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,26/08/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,23/08/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,23/08/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,23/08/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,26/07/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,26/07/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,19/07/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,19/07/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,19/07/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,19/07/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,19/07/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,19/07/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,05/07/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,05/07/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,14/06/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,14/06/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,14/06/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,03/06/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,21/05/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,17/05/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,17/05/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,15/05/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,15/05/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,15/05/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,09/05/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,30/04/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,30/04/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,22/04/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,16/04/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,15/04/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,12/04/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,09/04/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,01/04/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,25/03/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,25/03/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,25/03/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,25/03/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,20/03/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,19/03/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,15/03/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,13/03/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,12/03/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,26/02/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,26/02/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,25/02/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,20/02/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,19/02/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,19/02/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,14/02/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,14/02/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,14/02/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,12/02/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,12/02/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,12/02/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,07/02/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,05/02/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,05/02/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,01/02/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,01/02/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,15/01/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,15/01/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,15/01/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,15/01/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,15/01/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,15/01/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,15/01/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,11/01/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,09/01/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,07/01/2019: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,28/12/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,27/12/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,27/12/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,27/12/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,27/12/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,26/12/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,20/12/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,20/12/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,20/12/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,20/12/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,20/12/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,19/12/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,18/12/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,14/12/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,10/12/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,06/12/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,04/12/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,04/12/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,04/12/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,04/12/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,04/12/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,29/11/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,29/11/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,29/11/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,26/11/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,23/11/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,21/11/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,21/11/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,21/11/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,21/11/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,20/11/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,20/11/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,20/11/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,15/11/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,12/11/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,12/11/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,02/11/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,02/11/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
CFP 9608/2018,En trámite,29/10/2018: CAMARA CRIMINAL Y CORRECCIONAL FEDERAL - SALA 1
